Plugin,Status,Priority
404StarLinkLogo,STUB,HIGH
agent-management,STUB,HIGH
agents-for,STUB,HIGH
ai_analysis,STUB,HIGH
alterations,STUB,HIGH
announcements,STUB,HIGH
AUP,STUB,HIGH
auth_profiles,STUB,HIGH
aws,STUB,HIGH
aws_recon,STUB,HIGH
aws_sm,STUB,HIGH
azure,STUB,HIGH
azure_recon,STUB,HIGH
banner_2,STUB,HIGH
benchmark_runner,STUB,HIGH
bizlogic-hunter,STUB,HIGH
bucket_correlator,STUB,HIGH
bug_report,STUB,HIGH
ccr-config-template,STUB,HIGH
chat,STUB,HIGH
chatgpt_config_curl,STUB,HIGH
ChatGPT_key,STUB,HIGH
checkov,STUB,HIGH
ci_1,STUB,HIGH
ci_cd_cloud,STUB,HIGH
ci_cd_cloud_mapper,STUB,HIGH
claude-executor,STUB,HIGH
CLAUDE_2,STUB,HIGH
CLAUDE_3,STUB,HIGH
clear,STUB,HIGH
cli,STUB,HIGH
cloud-security,STUB,HIGH
cloudfront_mapper,STUB,HIGH
cloudmapper,STUB,HIGH
cloud_agent,STUB,HIGH
cloud_attack_surface,STUB,HIGH
cloud_fingerprint,STUB,HIGH
cloud_models,STUB,HIGH
cloud_pipeline,STUB,HIGH
cloud_storage,STUB,HIGH
conftest_2,STUB,HIGH
container-breakout,STUB,HIGH
CUSTOMIZATION,STUB,HIGH
CyberStrikeAITab,STUB,HIGH
dec-2025,STUB,HIGH
demo,STUB,HIGH
demo_1,STUB,HIGH
dependabot_3,STUB,HIGH
devcontainer,STUB,HIGH
DISCLAIMER,STUB,HIGH
docker,STUB,HIGH
docker-compose,STUB,HIGH
docker-compose_1,STUB,HIGH
docker-compose_2,STUB,HIGH
docker-compose_3,STUB,HIGH
Dockerfile_4,STUB,HIGH
Dockerfile_7,STUB,HIGH
Dockerfile_9,STUB,HIGH
docker_2,STUB,HIGH
docker_manager,STUB,HIGH
docker_nightly,STUB,HIGH
docker_registry_analyzer,STUB,HIGH
domains,STUB,HIGH
embedder,STUB,HIGH
engagement-planner,STUB,HIGH
entrypoint,STUB,HIGH
env,STUB,HIGH
env_3,STUB,HIGH
example-stig-finding,STUB,HIGH
executor_test,STUB,HIGH
exploit-auth,STUB,HIGH
exploit-authz,STUB,HIGH
exploit-authz_2,STUB,HIGH
exploit-auth_2,STUB,HIGH
exploit-injection,STUB,HIGH
exploit-xss,STUB,HIGH
exploit-xss_2,STUB,HIGH
export_menu,STUB,HIGH
factory,STUB,HIGH
fill-legal,STUB,HIGH
fingerprinter,STUB,HIGH
fingerprintertest,STUB,HIGH
fix-workspace-permissions,STUB,HIGH
gcp,STUB,HIGH
gcp_recon,STUB,HIGH
github-banner,STUB,HIGH
gitleaks,STUB,HIGH
go_2,STUB,HIGH
graphw00f,STUB,HIGH
hexstrike-logo,STUB,HIGH
home,STUB,HIGH
index_5,STUB,HIGH
javascript,STUB,HIGH
js-harvester-agent,STUB,HIGH
kube-bench,STUB,HIGH
kube-hunter,STUB,HIGH
kubernetes,STUB,HIGH
launch-config,STUB,HIGH
leaksapi-banner,STUB,HIGH
leaksapi-logo,STUB,HIGH
LICENSE_5,STUB,HIGH
litellm_provider,STUB,HIGH
logo_3,STUB,HIGH
main_13,STUB,HIGH
main_menu,STUB,HIGH
Makefile,STUB,HIGH
mindmap_obsidian,STUB,HIGH
misconfig-detector,STUB,HIGH
misconfigtest,STUB,HIGH
mobile-pentester,STUB,HIGH
mode,STUB,HIGH
orchestrator,STUB,HIGH
outputs,STUB,HIGH
package_3,STUB,HIGH
pacu,STUB,HIGH
pentestgpt_executor,STUB,HIGH
PentestGPT_Hackable2,STUB,HIGH
plugins,STUB,HIGH
pnpm-lock,STUB,HIGH
poc-validator,STUB,HIGH
pre-recon-code,STUB,HIGH
privesc-advisor,STUB,HIGH
privesc_agent,STUB,HIGH
prowler,STUB,HIGH
pyproject_3,STUB,HIGH
quick-start,STUB,HIGH
README_21,STUB,HIGH
README_22,STUB,HIGH
README_28,STUB,HIGH
README_29,STUB,HIGH
README_30,STUB,HIGH
reconcloud,STUB,HIGH
reconx,STUB,HIGH
release-beta,STUB,HIGH
release_1,STUB,HIGH
requirements_7,STUB,HIGH
resolver,STUB,HIGH
results,STUB,HIGH
role-management,STUB,HIGH
rollback,STUB,HIGH
rsecloud,STUB,HIGH
s3scanner,STUB,HIGH
s3_scanner,STUB,HIGH
sarif,STUB,HIGH
scan_pipeline,STUB,HIGH
scan_running,STUB,HIGH
scout-suite,STUB,HIGH
Screenshot2,STUB,HIGH
Screenshot3,STUB,HIGH
Screenshot4,STUB,HIGH
secret-scanner-agent,STUB,HIGH
secure_credential,STUB,HIGH
security,STUB,HIGH
SECURITY_3,STUB,HIGH
selection_agent,STUB,HIGH
server_mcp_pentest_18,STUB,HIGH
service_analyzer,STUB,HIGH
service_correlator_1,STUB,HIGH
settings_2,STUB,HIGH
setup,STUB,HIGH
setup_1,STUB,HIGH
shannon-banner,STUB,HIGH
SHANNON-PRO_1,STUB,HIGH
shannon-report-capital-api,STUB,HIGH
shannon-screen,STUB,HIGH
shodan,STUB,HIGH
six2dez_reconftw-stars-history,STUB,HIGH
SKILL_1,STUB,HIGH
SKILL_14,STUB,HIGH
SKILL_16,STUB,HIGH
SKILL_17,STUB,HIGH
SKILL_4,STUB,HIGH
social-engineer,STUB,HIGH
sponsor-wechat-alipay-qr,STUB,HIGH
ssrf_cloud_metadata,STUB,HIGH
ssrf_payloads,STUB,HIGH
stop,STUB,HIGH
tch,STUB,HIGH
tcp_beacon_server,STUB,HIGH
teardown,STUB,HIGH
techdetect,STUB,HIGH
terraform-reconFTW,STUB,HIGH
test_ad_agent_e2e_smoke,STUB,HIGH
test_agents,STUB,HIGH
test_benchmark_cli,STUB,HIGH
test_chain_context_discriminator,STUB,HIGH
test_cli_menu,STUB,HIGH
test_cloud_agent_e2e_smoke,STUB,HIGH
test_container_health,STUB,HIGH
test_docker_build,STUB,HIGH
test_flag_detection,STUB,HIGH
test_litellm_provider,STUB,HIGH
test_misc_coverage_2,STUB,HIGH
test_probe_ssrf_cloud_metadata,STUB,HIGH
test_providers_and_small_agents,STUB,HIGH
test_selection_agent,STUB,HIGH
trufflehog,STUB,HIGH
type_confusion,STUB,HIGH
uninstall,STUB,HIGH
USAGE,STUB,HIGH
usage_input,STUB,HIGH
usage_output,STUB,HIGH
usage_server1,STUB,HIGH
usage_server2,STUB,HIGH
variables,STUB,HIGH
vectorDB,STUB,HIGH
vuln-auth,STUB,HIGH
vuln-authz,STUB,HIGH
vuln-authz_2,STUB,HIGH
vuln-auth_2,STUB,HIGH
vuln-injection,STUB,HIGH
vuln-injection_2,STUB,HIGH
vuln-xss,STUB,HIGH
vuln-xss_2,STUB,HIGH
vulnerability-management,STUB,HIGH
waf-detector-agent,STUB,HIGH
wafw00f,STUB,HIGH
web-console,STUB,HIGH
wechat-group-cyberstrikeai-qr,STUB,HIGH
workflow_center,STUB,HIGH
workspaces,STUB,HIGH
zh-CN,STUB,HIGH
_10,STUB,HIGH
__init___119,STUB,HIGH
__init___26,STUB,HIGH
__init___78,STUB,HIGH
auth_1,STUB,HIGH
backfill-arch-data,STUB,HIGH
conftest_1,STUB,HIGH
COOKIES,STUB,HIGH
credential_tester_agent,STUB,HIGH
email-osint-agent,STUB,HIGH
environment,STUB,HIGH
holehe,STUB,HIGH
intel-collection,STUB,HIGH
osint,STUB,HIGH
osint-collector,STUB,HIGH
parsers_1,STUB,HIGH
phoneinfoga,STUB,HIGH
privacy_detect,STUB,HIGH
sdk,STUB,HIGH
smtp-user-enum,STUB,HIGH
social_engineer_agent,STUB,HIGH
splash-screen,STUB,HIGH
test_osint_domain_info_msftrecon,STUB,HIGH
test_probe_password_reset_weak,STUB,HIGH
validation,STUB,HIGH
vulnscan,STUB,HIGH
whois_tool,STUB,HIGH
_safety,STUB,HIGH
__init___125,STUB,HIGH
__init___128,STUB,HIGH
2dd29513_findings,STUB,HIGH
2dd29513_run_B_safe,STUB,HIGH
active,STUB,HIGH
active-crawl,STUB,HIGH
active_scanning,STUB,HIGH
active_test,STUB,HIGH
activities,STUB,HIGH
activity-logger,STUB,HIGH
activity-logger_1,STUB,HIGH
activity_feed,STUB,HIGH
ad-attacker,STUB,HIGH
adapter,STUB,HIGH
addr,STUB,HIGH
ad_agent,STUB,HIGH
agent,STUB,HIGH
agent-execution,STUB,HIGH
AGENTS,STUB,HIGH
AGENTS_1,STUB,HIGH
agent_1,STUB,HIGH
agent_3,STUB,HIGH
agent_loop,STUB,HIGH
agent_runner,STUB,HIGH
agent_test,STUB,HIGH
agent_trace,STUB,HIGH
agent_trace_test,STUB,HIGH
alerts,STUB,HIGH
alerts_1,STUB,HIGH
alienvault,STUB,HIGH
alterx,STUB,HIGH
amass,STUB,HIGH
amass_2,STUB,HIGH
analyze_repos,STUB,HIGH
anomaly_detector,STUB,HIGH
anomaly_engine,STUB,HIGH
anthropic,STUB,HIGH
anthropic_agent,STUB,HIGH
anthropic_official,STUB,HIGH
anubis,STUB,HIGH
apex,STUB,HIGH
api,STUB,HIGH
api-discoverer-agent,STUB,HIGH
api-discovery,STUB,HIGH
api-discoverytest,STUB,HIGH
api-docs,STUB,HIGH
api-schema-analyzer,STUB,HIGH
api-security,STUB,HIGH
apitest,STUB,HIGH
api_attack_surface,STUB,HIGH
api_authentication,STUB,HIGH
api_fingerprint,STUB,HIGH
api_models,STUB,HIGH
api_path_discovery,STUB,HIGH
api_pipeline,STUB,HIGH
api_security_agent,STUB,HIGH
api_surface_mapper,STUB,HIGH
app,STUB,HIGH
apply_triage_labels,STUB,HIGH
app_2,STUB,HIGH
app_3,STUB,HIGH
app_config,STUB,HIGH
aquatone,STUB,HIGH
arbiter,STUB,HIGH
architect-infer-agent,STUB,HIGH
ARCHITECTURE,STUB,HIGH
ARCHITECTURE_1,STUB,HIGH
ARCHITECTURE_2,STUB,HIGH
arjun_tool,STUB,HIGH
artifact-manifest,STUB,HIGH
asncache,STUB,HIGH
asnmap,STUB,HIGH
assetfinder,STUB,HIGH
assets,STUB,HIGH
assets_test,STUB,HIGH
asset_classifier,STUB,HIGH
asset_decode,STUB,HIGH
asset_secrets_scan,STUB,HIGH
assoc,STUB,HIGH
asvs-mapper,STUB,HIGH
async_prompt,STUB,HIGH
attach,STUB,HIGH
attach_test,STUB,HIGH
attack-chain,STUB,HIGH
attack-planner,STUB,HIGH
attack-surface-enumeration,STUB,HIGH
attackchain,STUB,HIGH
attack_surface_mapper,STUB,HIGH
attack_surface_mapping,STUB,HIGH
audit,STUB,HIGH
audit-logger,STUB,HIGH
audit-session,STUB,HIGH
audit_1,STUB,HIGH
aup_consent,STUB,HIGH
auth,STUB,HIGH
auth-flow-analyzer,STUB,HIGH
authed-findings,STUB,HIGH
authed-stderr,STUB,HIGH
authenticated_scan,STUB,HIGH
auth_2,STUB,HIGH
auth_analyzer,STUB,HIGH
auth_cache,STUB,HIGH
auth_handler,STUB,HIGH
auth_manager,STUB,HIGH
auth_session,STUB,HIGH
autnum,STUB,HIGH
autsys,STUB,HIGH
autsys_1,STUB,HIGH
axiom,STUB,HIGH
backend,STUB,HIGH
backlog,STUB,HIGH
backlog_1,STUB,HIGH
backlog_test,STUB,HIGH
banner,STUB,HIGH
banners,STUB,HIGH
banner_3,STUB,HIGH
banner_analyzer,STUB,HIGH
banner_url,STUB,HIGH
base,STUB,HIGH
base-agent,STUB,HIGH
base_1,STUB,HIGH
base_3,STUB,HIGH
base_5,STUB,HIGH
base_tool,STUB,HIGH
basic_scan,STUB,HIGH
batch_task,STUB,HIGH
batch_task_manager,STUB,HIGH
batch_task_mcp,STUB,HIGH
beacongo,STUB,HIGH
beacon_host,STUB,HIGH
benchmark_juice_shop,STUB,HIGH
bevigil,STUB,HIGH
billing-detection,STUB,HIGH
binaryedge,STUB,HIGH
bing,STUB,HIGH
blackbox-config-agent,STUB,HIGH
blackbox-context,STUB,HIGH
blacklist_test,STUB,HIGH
bloodhound,STUB,HIGH
book,STUB,HIGH
browser-crawler-agent,STUB,HIGH
browser_agent,STUB,HIGH
brute,STUB,HIGH
bruteforce-ftp,STUB,HIGH
bruteforce-http,STUB,HIGH
bruteforce-rdp,STUB,HIGH
bruteforce-smb,STUB,HIGH
bruteforce-ssh,STUB,HIGH
brute_test,STUB,HIGH
bucket_exposure_engine,STUB,HIGH
bufferover,STUB,HIGH
bufferoverrun,STUB,HIGH
bug,STUB,HIGH
bug-bounty,STUB,HIGH
bug_2,STUB,HIGH
bug_report_2,STUB,HIGH
bug_report_3,STUB,HIGH
build,STUB,HIGH
build-mvn,STUB,HIGH
build-test,STUB,HIGH
builder,STUB,HIGH
builtin-tools,STUB,HIGH
builtwith,STUB,HIGH
BurpExtender,STUB,HIGH
BurpExtender1,STUB,HIGH
burp_client,STUB,HIGH
burp_commands,STUB,HIGH
burp_suite,STUB,HIGH
business-logic-agent,STUB,HIGH
business_logic_fuzz,STUB,HIGH
c1ae665a_findings,STUB,HIGH
c1ae665a_run_A_default,STUB,HIGH
c2-operator,STUB,HIGH
c2_1,STUB,HIGH
c2_hitl_bridge,STUB,HIGH
c2_lifecycle,STUB,HIGH
c2_tools,STUB,HIGH
c99,STUB,HIGH
capability_map,STUB,HIGH
captcha_replay,STUB,HIGH
categories,STUB,HIGH
censys,STUB,HIGH
censys_test,STUB,HIGH
certspotter,STUB,HIGH
certspotter_2,STUB,HIGH
cgo_specific,STUB,HIGH
chain,STUB,HIGH
chain_agent,STUB,HIGH
CHANGELOG,STUB,HIGH
CHANGELOG_121,STUB,HIGH
CHANGELOG_122,STUB,HIGH
CHANGELOG_123,STUB,HIGH
CHANGELOG_13,STUB,HIGH
CHANGELOG_14,STUB,HIGH
CHANGELOG_15,STUB,HIGH
CHANGELOG_16,STUB,HIGH
CHANGELOG_17,STUB,HIGH
CHANGELOG_18,STUB,HIGH
CHANGELOG_181,STUB,HIGH
CHANGELOG_182,STUB,HIGH
CHANGELOG_19,STUB,HIGH
CHANGELOG_2,STUB,HIGH
CHANGELOG_20,STUB,HIGH
CHANGELOG_3,STUB,HIGH
chaos,STUB,HIGH
chaos_2,STUB,HIGH
chat-files,STUB,HIGH
chatgpt,STUB,HIGH
chatgpt_api,STUB,HIGH
chatgpt_config_sample,STUB,HIGH
chat_config,STUB,HIGH
chat_uploads,STUB,HIGH
check-env,STUB,HIGH
checkpoint,STUB,HIGH
checkpoint-manager,STUB,HIGH
check_artifacts,STUB,HIGH
check_artifacts_all,STUB,HIGH
chinaz,STUB,HIGH
chunk_eino,STUB,HIGH
ci-cd,STUB,HIGH
cicd-redteam,STUB,HIGH
citations,STUB,HIGH
claims,STUB,HIGH
clair,STUB,HIGH
CLAUDE,STUB,HIGH
CLAUDE_4,STUB,HIGH
claude_bridge,STUB,HIGH
claude_reasoning_roundtrip,STUB,HIGH
claude_reasoning_roundtrip_test,STUB,HIGH
cleanup-rollback,STUB,HIGH
client,STUB,HIGH
client_1,STUB,HIGH
client_2,STUB,HIGH
client_4,STUB,HIGH
client_sdk,STUB,HIGH
clitest,STUB,HIGH
cli_1,STUB,HIGH
cli_2,STUB,HIGH
cli_3,STUB,HIGH
cli_4,STUB,HIGH
cli_5,STUB,HIGH
cmdi-agent,STUB,HIGH
cname,STUB,HIGH
codeclimate,STUB,HIGH
codecov,STUB,HIGH
codeql,STUB,HIGH
codeql-analysis,STUB,HIGH
CODE_OF_CONDUCT,STUB,HIGH
common,STUB,HIGH
commoncrawl,STUB,HIGH
common_2,STUB,HIGH
company_enrich,STUB,HIGH
company_rounds,STUB,HIGH
company_search,STUB,HIGH
compare_baseline,STUB,HIGH
compliance,STUB,HIGH
confidence_engine,STUB,HIGH
config,STUB,HIGH
config-loader,STUB,HIGH
config-parser,STUB,HIGH
config-schema,STUB,HIGH
config-schema_1,STUB,HIGH
configtest,STUB,HIGH
configure_mcp,STUB,HIGH
config_1,STUB,HIGH
config_2,STUB,HIGH
config_3,STUB,HIGH
config_4,STUB,HIGH
config_5,STUB,HIGH
config_6,STUB,HIGH
config_test,STUB,HIGH
conftest,STUB,HIGH
const,STUB,HIGH
constants,STUB,HIGH
constants_1,STUB,HIGH
contact,STUB,HIGH
container-api,STUB,HIGH
content,STUB,HIGH
content-discovery-agent,STUB,HIGH
content_fingerprint,STUB,HIGH
context_analyzer,STUB,HIGH
contracts,STUB,HIGH
CONTRIBUTING,STUB,HIGH
CONTRIBUTING_2,STUB,HIGH
CONTRIBUTING_3,STUB,HIGH
CONTRIBUTING_4,STUB,HIGH
CONTRIBUTING_5,STUB,HIGH
controller,STUB,HIGH
conversation,STUB,HIGH
conversation_manager,STUB,HIGH
cookie_prefix_bypass,STUB,HIGH
core,STUB,HIGH
corpus,STUB,HIGH
correlation_engine,STUB,HIGH
cors-probe-agent,STUB,HIGH
cors_reflection,STUB,HIGH
cortex,STUB,HIGH
cost,STUB,HIGH
coupon_forging,STUB,HIGH
COVERAGE,STUB,HIGH
COVERAGE_1,STUB,HIGH
crawler,STUB,HIGH
crawler-agent,STUB,HIGH
crawlercpython-313,STUB,HIGH
crawler_1,STUB,HIGH
crawler_2,STUB,HIGH
crawler_3,STUB,HIGH
createdFiles,STUB,HIGH
credential-tester,STUB,HIGH
credentialed-scans,STUB,HIGH
credential_detector,STUB,HIGH
crlfuzz,STUB,HIGH
crtsh_1,STUB,HIGH
crtsh_3,STUB,HIGH
CTF,STUB,HIGH
ctf-solver,STUB,HIGH
curl,STUB,HIGH
curl-known-security,STUB,HIGH
curl-robots,STUB,HIGH
cve_db,STUB,HIGH
cve_poc_primitives,STUB,HIGH
cvss-calculator,STUB,HIGH
cyberstrikeai-burp-extension-100,STUB,HIGH
CyberStrikeAIClient,STUB,HIGH
CyberStrikeAIClient1,STUB,HIGH
CyberStrikeAIClientAgentMode,STUB,HIGH
CyberStrikeAIClientConfig,STUB,HIGH
CyberStrikeAIClientStreamListener,STUB,HIGH
CyberStrikeAITab1,STUB,HIGH
CyberStrikeAITabDotIcon,STUB,HIGH
CyberStrikeAITabTestRun,STUB,HIGH
CyberStrikeAITabTestRunCellRenderer,STUB,HIGH
dalfox,STUB,HIGH
dark-matter,STUB,HIGH
dark-mattertest,STUB,HIGH
dashboard,STUB,HIGH
dashboard_1,STUB,HIGH
dashboard_2,STUB,HIGH
data-flow-mapper,STUB,HIGH
DATA-PRIVACY,STUB,HIGH
database_1,STUB,HIGH
datasources,STUB,HIGH
datasrcs,STUB,HIGH
datasrcs_test,STUB,HIGH
DeathNote_1,STUB,HIGH
debug,STUB,HIGH
debug-world-model,STUB,HIGH
DECISION,STUB,HIGH
decision_engine,STUB,HIGH
decision_engine_1,STUB,HIGH
dedup,STUB,HIGH
deduplicator,STUB,HIGH
deepseek,STUB,HIGH
deepseek_api,STUB,HIGH
deepsource,STUB,HIGH
default,STUB,HIGH
default_1,STUB,HIGH
default_single_system_prompt,STUB,HIGH
dep-auto-merge,STUB,HIGH
dependabot_2,STUB,HIGH
DEPENDENCIES,STUB,HIGH
dependency_graph,STUB,HIGH
DEPLOYMENT,STUB,HIGH
deserialization,STUB,HIGH
DESIGN-FEATURES,STUB,HIGH
detection-engineer,STUB,HIGH
detection_engine,STUB,HIGH
detector,STUB,HIGH
development,STUB,HIGH
diff,STUB,HIGH
digitalyama,STUB,HIGH
digitorus,STUB,HIGH
ding,STUB,HIGH
dirbrute,STUB,HIGH
dirbuster,STUB,HIGH
dirbuster_2,STUB,HIGH
directories,STUB,HIGH
dirsearch,STUB,HIGH
dirsearch_2,STUB,HIGH
dirsearch_tool,STUB,HIGH
DISCLAIMER_2,STUB,HIGH
dispatch,STUB,HIGH
dispatcher,STUB,HIGH
dns,STUB,HIGH
dns-reverse-lookup,STUB,HIGH
dns-zone-transfer,STUB,HIGH
dnsdb,STUB,HIGH
dnsdumpster,STUB,HIGH
dnsenum,STUB,HIGH
dnsenum_tool,STUB,HIGH
dnshistory,STUB,HIGH
dnslog,STUB,HIGH
dnsrecon,STUB,HIGH
dnsrecon-subdomain-bruteforce,STUB,HIGH
dnsrecon_tool,STUB,HIGH
dnsrepo,STUB,HIGH
dnsrepo_2,STUB,HIGH
dnsx,STUB,HIGH
dnsx_tool,STUB,HIGH
dns_extractor,STUB,HIGH
dns_pipeline,STUB,HIGH
dns_test,STUB,HIGH
dns_tool,STUB,HIGH
doc,STUB,HIGH
Dockerfile,STUB,HIGH
Dockerfile_1,STUB,HIGH
Dockerfile_10,STUB,HIGH
Dockerfile_11,STUB,HIGH
Dockerfile_2,STUB,HIGH
Dockerfile_5,STUB,HIGH
Dockerfile_6,STUB,HIGH
Dockerfile_8,STUB,HIGH
dockerhub-push,STUB,HIGH
docs,STUB,HIGH
docs_1,STUB,HIGH
doctor,STUB,HIGH
documentation-agent,STUB,HIGH
doc_1,STUB,HIGH
doc_2,STUB,HIGH
doc_3,STUB,HIGH
domain-profiler,STUB,HIGH
domainsproject,STUB,HIGH
domain_record,STUB,HIGH
dom_xss,STUB,HIGH
dot,STUB,HIGH
dotdotpwn,STUB,HIGH
dot_test,STUB,HIGH
DPA,STUB,HIGH
driftnet,STUB,HIGH
duckduckgo,STUB,HIGH
efd01c52_findings,STUB,HIGH
efd01c52_llm_coordinated_run,STUB,HIGH
efd01c52_probe_runs,STUB,HIGH
eino,STUB,HIGH
eino_checkpoint,STUB,HIGH
eino_execute_monitor,STUB,HIGH
eino_execute_streaming_wrap,STUB,HIGH
eino_exit_fallback_test,STUB,HIGH
eino_filesystem_tool_monitor,STUB,HIGH
eino_input_telemetry,STUB,HIGH
eino_meta,STUB,HIGH
eino_middleware,STUB,HIGH
eino_middleware_test,STUB,HIGH
eino_model_facing_trace,STUB,HIGH
eino_model_rewrite_pipeline,STUB,HIGH
eino_orchestration,STUB,HIGH
eino_resume_segment,STUB,HIGH
eino_retrieve_chain_test,STUB,HIGH
eino_single_agent,STUB,HIGH
eino_single_runner,STUB,HIGH
eino_skills,STUB,HIGH
eino_sse_sanitizer,STUB,HIGH
eino_sse_sanitizer_test,STUB,HIGH
eino_summarize,STUB,HIGH
eino_summarize_test,STUB,HIGH
eino_test,STUB,HIGH
eino_tool_name_injection,STUB,HIGH
eino_transient_retry,STUB,HIGH
eino_transient_retry_test,STUB,HIGH
email,STUB,HIGH
embedding,STUB,HIGH
employees,STUB,HIGH
en-US,STUB,HIGH
endpoint_classifier,STUB,HIGH
engagement-planning,STUB,HIGH
engine,STUB,HIGH
engineapi,STUB,HIGH
engineapi_test,STUB,HIGH
engine_1,STUB,HIGH
enhanced-report,STUB,HIGH
entrypoint_1,STUB,HIGH
enum4linux,STUB,HIGH
enumerate,STUB,HIGH
enumerate_test,STUB,HIGH
envexpand,STUB,HIGH
envexpand_test,STUB,HIGH
env_1,STUB,HIGH
env_2,STUB,HIGH
env_4,STUB,HIGH
epistemic-reasoning,STUB,HIGH
EQBSL-Primer,STUB,HIGH
error,STUB,HIGH
error-formatter,STUB,HIGH
error-handling,STUB,HIGH
ErrorPatternAnalyzertest,STUB,HIGH
errors,STUB,HIGH
eslintconfig,STUB,HIGH
evaluator,STUB,HIGH
events,STUB,HIGH
events_1,STUB,HIGH
EVIDENCE,STUB,HIGH
evidence-graph,STUB,HIGH
evidence-normalizers,STUB,HIGH
EvidenceCommand,STUB,HIGH
example-blackbox-config,STUB,HIGH
example-config,STUB,HIGH
example-config_1,STUB,HIGH
example-detection-rule,STUB,HIGH
example-engagement-plan,STUB,HIGH
example-nmap-analysis,STUB,HIGH
example-report-excerpt,STUB,HIGH
example_sqlmap,STUB,HIGH
example_sqlmap_1,STUB,HIGH
execute-python-script,STUB,HIGH
execution,STUB,HIGH
execution-log,STUB,HIGH
execution-runner,STUB,HIGH
execution_view,STUB,HIGH
executor,STUB,HIGH
executor_2,STUB,HIGH
executor_helpers,STUB,HIGH
exif_metadata,STUB,HIGH
explanation_engine,STUB,HIGH
exporter,STUB,HIGH
exposure_classifier,STUB,HIGH
exposure_prioritizer,STUB,HIGH
express-scaffold,STUB,HIGH
external-recon,STUB,HIGH
external_manager,STUB,HIGH
external_manager_test,STUB,HIGH
external_mcp,STUB,HIGH
external_mcp_test,STUB,HIGH
extractor,STUB,HIGH
extract_cookie,STUB,HIGH
eyewitness,STUB,HIGH
facebook,STUB,HIGH
falco,STUB,HIGH
false_positive_filter,STUB,HIGH
fastapi-scaffold,STUB,HIGH
feature,STUB,HIGH
feature-collector,STUB,HIGH
feature_2,STUB,HIGH
feature_request,STUB,HIGH
feature_request_3,STUB,HIGH
feroxbuster,STUB,HIGH
ffuf,STUB,HIGH
ffuf_2,STUB,HIGH
ffuf_tool,STUB,HIGH
fierce,STUB,HIGH
fierce_tool,STUB,HIGH
file,STUB,HIGH
file-io,STUB,HIGH
file-operations,STUB,HIGH
files,STUB,HIGH
file_upload_validation,STUB,HIGH
filter,STUB,HIGH
filternet-bayes,STUB,HIGH
find,STUB,HIGH
findings_1,STUB,HIGH
findings_db,STUB,HIGH
findomain,STUB,HIGH
findsubdomains,STUB,HIGH
fingerprints,STUB,HIGH
