Repository,Recon Value,Bug Bounty Value,Enterprise Value,Research Value,Maintenance Cost
activity_feed,1,1,1,1,9
ad_agent,1,1,1,1,9
agent_1,1,1,1,1,9
agent_trace,1,1,1,1,9
agent_trace_test,1,1,1,1,9
app_3,1,1,1,1,9
attach,1,1,1,1,9
attach_test,1,1,1,1,9
audit,1,1,1,1,9
audit-logger,1,1,1,1,9
audit-session,1,1,1,1,9
base-agent,1,1,1,1,9
base_1,1,1,1,1,9
base_tool,1,1,1,1,9
batch_task,1,1,1,1,9
batch_task_manager,1,1,1,1,9
batch_task_mcp,1,1,1,1,9
beacongo,1,1,1,1,9
bug,1,1,1,1,9
BurpExtender,1,1,1,1,9
BurpExtender1,1,1,1,1,9
c2_hitl_bridge,1,1,1,1,9
CLAUDE,1,1,1,1,9
claude_reasoning_roundtrip,1,1,1,1,9
claude_reasoning_roundtrip_test,1,1,1,1,9
cleanup-rollback,1,1,1,1,9
client,1,1,1,1,9
cmdi-agent,1,1,1,1,9
config,1,1,1,1,9
config_3,1,1,1,1,9
content,1,1,1,1,9
controller,1,1,1,1,9
corpus,1,1,1,1,9
cost,1,1,1,1,9
createdFiles,1,1,1,1,9
CTF,1,1,1,1,9
cyberstrikeai-burp-extension-100,1,1,1,1,9
CyberStrikeAIClientConfig,1,1,1,1,9
CyberStrikeAITabTestRun,1,1,1,1,9
CyberStrikeAITabTestRunCellRenderer,1,1,1,1,9
dashboard,1,1,1,1,9
default,1,1,1,1,9
default_1,1,1,1,1,9
dependency_graph,1,1,1,1,9
detector,1,1,1,1,9
development,1,1,1,1,9
eino_checkpoint,1,1,1,1,9
eino_execute_monitor,1,1,1,1,9
eino_execute_streaming_wrap,1,1,1,1,9
eino_exit_fallback_test,1,1,1,1,9
eino_filesystem_tool_monitor,1,1,1,1,9
eino_input_telemetry,1,1,1,1,9
eino_middleware,1,1,1,1,9
eino_middleware_test,1,1,1,1,9
eino_model_facing_trace,1,1,1,1,9
eino_model_rewrite_pipeline,1,1,1,1,9
eino_orchestration,1,1,1,1,9
eino_resume_segment,1,1,1,1,9
eino_single_agent,1,1,1,1,9
eino_skills,1,1,1,1,9
eino_sse_sanitizer,1,1,1,1,9
eino_sse_sanitizer_test,1,1,1,1,9
eino_summarize,1,1,1,1,9
eino_summarize_test,1,1,1,1,9
engagement-planning,1,1,1,1,9
EQBSL-Primer,1,1,1,1,9
events,3,3,1,3,7
events_1,1,1,1,1,9
EvidenceCommand,1,1,1,1,9
eyewitness,1,1,1,1,9
feature,1,1,1,1,9
feature_2,1,1,1,1,9
formatting,1,1,1,1,9
frontmatter,1,1,1,1,9
generate-totp,1,1,1,1,9
git-manager,1,1,1,1,9
ground-truth-agent,1,1,1,1,9
group,1,1,1,1,9
hitl_context,1,1,1,1,9
hitl_middleware,1,1,1,1,9
holder,1,1,1,1,9
HttpMessageFormatter,1,1,1,1,9
impact-exfiltration,1,1,1,1,9
index,1,1,1,1,9
index_12,1,1,1,1,9
index_3,1,1,1,1,9
index_4,3,3,1,3,7
index_9,1,1,1,1,9
install_preferences,1,1,1,1,9
interrupt,1,1,1,1,9
lateral-movement,1,1,1,1,9
layout,1,1,1,1,9
listener_tcp,1,1,1,1,9
log-stream,1,1,1,1,9
logger,1,1,1,1,9
logger_1,1,1,1,1,9
login-instructions,1,1,1,1,9
login-instructions_1,1,1,1,1,9
logo,1,1,1,1,9
main_12,1,1,1,1,9
main_3,3,3,1,3,7
main_8,3,3,1,3,7
markdown_orchestrator_test,1,1,1,1,9
mcp_pent_claude_agent,1,1,1,1,9
mcp_tools,1,1,1,1,9
memory,1,1,1,1,9
metrics,1,1,1,1,9
models,3,3,1,3,7
model_manager,1,1,1,1,9
multi_agent_prepare,1,1,1,1,9
navigator,1,1,1,1,9
normalize_streaming_delta_test,1,1,1,1,9
normalize_streaming_eof_test,1,1,1,1,9
opsec-evasion,1,1,1,1,9
orchestratortest,1,1,1,1,9
orchestrator_instruction,1,1,1,1,9
orphan_tool_pruner_middleware_test,1,1,1,1,9
otel,1,1,1,1,9
package-lock_1,1,1,1,1,9
package_2,1,1,1,1,9
package_4,1,1,1,1,9
paths_1,1,1,1,1,9
payload_builder,1,1,1,1,9
PentestGPT_design,1,1,1,1,9
persistence-maintenance,1,1,1,1,9
plan_execute_executor,1,1,1,1,9
plan_execute_steps_cap,1,1,1,1,9
plan_execute_steps_cap_test,1,1,1,1,9
plan_execute_text,1,1,1,1,9
plan_execute_text_test,1,1,1,1,9
plugin_3,3,3,1,3,7
plugin_center,1,1,1,1,9
pnpm-workspace,1,1,1,1,9
portscan-all-tcp-ports,1,1,1,1,9
portscan-top-100-udp-ports,1,1,1,1,9
pre-commit-config,1,1,1,1,9
pre-recon-code_3,1,1,1,1,9
privilege-escalation,1,1,1,1,9
production,1,1,1,1,9
progress-manager,1,1,1,1,9
prompt-manager,1,1,1,1,9
prompts,3,3,1,3,7
prompt_select,1,1,1,1,9
README_14,1,1,1,1,9
README_34,1,1,1,1,9
README_35,1,1,1,1,9
README_40,1,1,1,1,9
reasoning_trace,1,1,1,1,9
reasoning_trace_test,1,1,1,1,9
reconftw_prox_deploy,1,1,1,1,9
recon_3,1,1,1,1,9
registry_4,1,1,1,1,9
registry_8,1,1,1,1,9
registry_bridge,1,1,1,1,9
remediation-agent,1,1,1,1,9
report-output-provider,1,1,1,1,9
reporting-remediation,1,1,1,1,9
report_agent,1,1,1,1,9
result,1,1,1,1,9
role,1,1,1,1,9
router,1,1,1,1,9
runner_reasoning_history_test,1,1,1,1,9
run_context,1,1,1,1,9
save-deliverable,1,1,1,1,9
service_1,1,1,1,1,9
settings_3,1,1,1,1,9
settings_4,1,1,1,1,9
skills,1,1,1,1,9
splash,1,1,1,1,9
sse_stream,1,1,1,1,9
styles,1,1,1,1,9
summary-mapper,1,1,1,1,9
task_handler,1,1,1,1,9
task_manager,1,1,1,1,9
task_processor,1,1,1,1,9
task_tree_manager,1,1,1,1,9
test-multibar,1,1,1,1,9
test_async_prompt,1,1,1,1,9
test_backend_interface,1,1,1,1,9
test_base_agent_coverage,1,1,1,1,9
test_controller,1,1,1,1,9
test_cost_tracker,1,1,1,1,9
test_events,1,1,1,1,9
test_install_planner,1,1,1,1,9
test_integration,1,1,1,1,9
test_langfuse,1,1,1,1,9
test_mcp_auth_session_reuse,1,1,1,1,9
test_mcp_client_and_hitl,1,1,1,1,9
test_mcp_server,1,1,1,1,9
test_output_parser,1,1,1,1,9
test_playbook,1,1,1,1,9
test_stage2_integration,1,1,1,1,9
test_trigger_system,1,1,1,1,9
test_web_agent_set_auth,1,1,1,1,9
tmux_manager,1,1,1,1,9
tool_error_middleware,1,1,1,1,9
tool_error_middleware_test,1,1,1,1,9
tool_invoke_notify,1,1,1,1,9
tracer,1,1,1,1,9
trigger_system,1,1,1,1,9
truncate_test,1,1,1,1,9
tsdownconfig,1,1,1,1,9
tui,1,1,1,1,9
types_7,1,1,1,1,9
utils,7,7,5,7,3
validate,1,1,1,1,9
validate-authentication,1,1,1,1,9
validation-harness,1,1,1,1,9
vulnerability-triage,1,1,1,1,9
Web,1,1,1,1,9
webshell_context,1,1,1,1,9
webshell_context_test,1,1,1,1,9
webshell_probe,1,1,1,1,9
wechat,1,1,1,1,9
wireless_agent,1,1,1,1,9
workflow-logger,1,1,1,1,9
workflow_engine,1,1,1,1,9
_14,1,1,1,1,9
_rules_1,1,1,1,1,9
_target_1,1,1,1,1,9
__init___109,1,1,1,1,9
__init___11,1,1,1,1,9
__init___141,1,1,1,1,9
__init___144,1,1,1,1,9
__init___17,1,1,1,1,9
__init___202,1,1,1,1,9
__init___211,1,1,1,1,9
__init___29,1,1,1,1,9
__init___31,1,1,1,1,9
__init___50,1,1,1,1,9
__init___52,1,1,1,1,9
__init___6,1,1,1,1,9
__init___70,1,1,1,1,9
activities,1,1,1,1,9
agent-execution,1,1,1,1,9
agents,3,3,1,3,7
agent_runner,1,1,1,1,9
agent_test,1,1,1,1,9
anthropic_agent,1,1,1,1,9
anthropic_official,1,1,1,1,9
api,1,1,1,1,9
api-discoverer-agent,1,1,1,1,9
api-discovery,1,1,1,1,9
api-discoverytest,1,1,1,1,9
api-docs,1,1,1,1,9
api-schema-analyzer,1,1,1,1,9
apitest,1,1,1,1,9
api_authentication,1,1,1,1,9
api_pipeline,1,1,1,1,9
app,3,3,1,3,7
app_2,1,1,1,1,9
app_config,1,1,1,1,9
asvs-mapper,1,1,1,1,9
async_prompt,1,1,1,1,9
attackchain,1,1,1,1,9
audit_1,1,1,1,1,9
aup_consent,1,1,1,1,9
auth,3,3,1,3,7
auth_analyzer,1,1,1,1,9
auth_cache,1,1,1,1,9
backend,1,1,1,1,9
banner_analyzer,1,1,1,1,9
billing-detection,1,1,1,1,9
build,1,1,1,1,9
build-mvn,1,1,1,1,9
burp_client,1,1,1,1,9
burp_commands,1,1,1,1,9
business-logic-agent,1,1,1,1,9
c2_lifecycle,1,1,1,1,9
c2_tools,1,1,1,1,9
captcha_replay,1,1,1,1,9
chain,1,1,1,1,9
chat-files,1,1,1,1,9
chatgpt,1,1,1,1,9
chatgpt_api,1,1,1,1,9
chatgpt_config_sample,1,1,1,1,9
chat_config,1,1,1,1,9
checkpoint,1,1,1,1,9
checkpoint-manager,1,1,1,1,9
citations,1,1,1,1,9
clair,1,1,1,1,9
claude_bridge,1,1,1,1,9
CODE_OF_CONDUCT,1,1,1,1,9
config-loader,1,1,1,1,9
config_2,3,3,1,3,7
config_5,1,1,1,1,9
config_6,1,1,1,1,9
conftest,1,1,1,1,9
constants,1,1,1,1,9
content_fingerprint,1,1,1,1,9
CONTRIBUTING_2,1,1,1,1,9
CONTRIBUTING_3,1,1,1,1,9
CONTRIBUTING_4,1,1,1,1,9
conversation,1,1,1,1,9
cors-probe-agent,1,1,1,1,9
cors_reflection,1,1,1,1,9
cortex,1,1,1,1,9
coupon_forging,1,1,1,1,9
credential_detector,1,1,1,1,9
cve_db,1,1,1,1,9
cve_poc_primitives,1,1,1,1,9
cvss-calculator,1,1,1,1,9
CyberStrikeAIClient,1,1,1,1,9
CyberStrikeAIClientAgentMode,1,1,1,1,9
dark-matter,1,1,1,1,9
dark-mattertest,1,1,1,1,9
dashboard_2,1,1,1,1,9
DATA-PRIVACY,1,1,1,1,9
datasrcs,1,1,1,1,9
debug,1,1,1,1,9
DECISION,1,1,1,1,9
deepseek,1,1,1,1,9
deepseek_api,1,1,1,1,9
default_single_system_prompt,1,1,1,1,9
DEPLOYMENT,1,1,1,1,9
deserialization,1,1,1,1,9
documentation-agent,1,1,1,1,9
doc_3,1,1,1,1,9
DPA,1,1,1,1,9
eino,1,1,1,1,9
eino_single_runner,1,1,1,1,9
eino_test,1,1,1,1,9
eino_transient_retry,1,1,1,1,9
eino_transient_retry_test,1,1,1,1,9
embedding,1,1,1,1,9
endpoint_classifier,1,1,1,1,9
engineapi_test,1,1,1,1,9
envexpand_test,1,1,1,1,9
env_2,1,1,1,1,9
env_4,1,1,1,1,9
error-handling,1,1,1,1,9
ErrorPatternAnalyzertest,1,1,1,1,9
errors,1,1,1,1,9
evidence,3,3,1,3,7
executor_2,1,1,1,1,9
exploit-authz_1,1,1,1,1,9
exploit-authz_3,1,1,1,1,9
express-scaffold,1,1,1,1,9
external_mcp_test,1,1,1,1,9
extract_cookie,1,1,1,1,9
facebook,1,1,1,1,9
feature-collector,1,1,1,1,9
forced_error,1,1,1,1,9
frontend-i18n,1,1,1,1,9
gemini,1,1,1,1,9
gemini_api,1,1,1,1,9
getting-started,1,1,1,1,9
gpt4all_api,1,1,1,1,9
graphql,1,1,1,1,9
graphql-scanner,1,1,1,1,9
graphql_introspection,1,1,1,1,9
graphql_tool,1,1,1,1,9
hackertarget,1,1,1,1,9
harness,1,1,1,1,9
hidden_discovery,1,1,1,1,9
hitl,1,1,1,1,9
host_header_reset_poisoning,1,1,1,1,9
HTTPMethodAnalyzertest,1,1,1,1,9
http_extractor,1,1,1,1,9
idor_authenticated,1,1,1,1,9
idor_authz_differential,1,1,1,1,9
indexer,1,1,1,1,9
index_1,1,1,1,1,9
index_13,1,1,1,1,9
index_17,1,1,1,1,9
inference,1,1,1,1,9
inferencetest,1,1,1,1,9
install-git-hooks,1,1,1,1,9
INSTALL_2,1,1,1,1,9
jina,1,1,1,1,9
js-analysis,1,1,1,1,9
juiceshop,1,1,1,1,9
jwt_jku_x5u_ssrf,1,1,1,1,9
knowledge,1,1,1,1,9
knowledgejs,1,1,1,1,9
knowledge_base,1,1,1,1,9
langfuse,1,1,1,1,9
lark,1,1,1,1,9
ldap_injection,1,1,1,1,9
legacy,1,1,1,1,9
LICENSE,1,1,1,1,9
LICENSE_1,1,1,1,1,9
LICENSE_10,1,1,1,1,9
LICENSE_12,1,1,1,1,9
LICENSE_13,1,1,1,1,9
LICENSE_2,1,1,1,1,9
LICENSE_4,1,1,1,1,9
LICENSE_6,1,1,1,1,9
LICENSE_7,1,1,1,1,9
LICENSE_9,1,1,1,1,9
llm,1,1,1,1,9
llm-analysis,1,1,1,1,9
llm-client,1,1,1,1,9
llm-clienttest,1,1,1,1,9
llm-clienttest_1,1,1,1,1,9
llm-client_1,1,1,1,1,9
llm_api,1,1,1,1,9
loader_1,1,1,1,1,9
LOCAL-SETUP,1,1,1,1,9
main_4,3,3,1,3,7
main_5,3,3,1,3,7
manager_2,1,1,1,1,9
markdown,1,1,1,1,9
MarkdownRenderer,1,1,1,1,9
markdown_agents,1,1,1,1,9
masscan,1,1,1,1,9
masscan_2,1,1,1,1,9
mass_assignment,1,1,1,1,9
mcp_client,1,1,1,1,9
mcp_manager,1,1,1,1,9
mcp_setup,1,1,1,1,9
memory_compressor,1,1,1,1,9
message-handlers,1,1,1,1,9
metrics-tracker,1,1,1,1,9
models_1,1,1,1,1,9
models_5,1,1,1,1,9
module_import,1,1,1,1,9
monitor,3,3,1,3,7
multi_agent,1,1,1,1,9
MULTI_AGENT_EINO,1,1,1,1,9
nikto_tool,1,1,1,1,9
nmap-irc,1,1,1,1,9
notifications,1,1,1,1,9
no_nested_task,1,1,1,1,9
ollama_api,1,1,1,1,9
openai,3,3,1,3,7
openapi,3,3,1,3,7
openapi-discovery-agent,1,1,1,1,9
openapi_i18n,1,1,1,1,9
openapi_parser,1,1,1,1,9
open_ai,1,1,1,1,9
oracle-patator,1,1,1,1,9
orchestrator-plan-execute,1,1,1,1,9
orchestrator-supervisor,1,1,1,1,9
orphan_tool_pruner_middleware,1,1,1,1,9
osrframework,1,1,1,1,9
package_1,1,1,1,1,9
package_5,1,1,1,1,9
parameter_mapper,1,1,1,1,9
password_reset_weak,1,1,1,1,9
path_traversal,1,1,1,1,9
penetration,1,1,1,1,9
pentest-ai,1,1,1,1,9
pentest_agent,1,1,1,1,9
pentest_gpt,1,1,1,1,9
pentest_gpt_rebuilt,1,1,1,1,9
pent_claude_agent_config,1,1,1,1,9
perplexity,1,1,1,1,9
persistencetest,1,1,1,1,9
playwright-config-writer,1,1,1,1,9
plugin_loader_1,1,1,1,1,9
poc_agent,1,1,1,1,9
pom,1,1,1,1,9
postman_parser,1,1,1,1,9
pre-recon-code_2,1,1,1,1,9
privilege_escalation_patch,1,1,1,1,9
project_manager,1,1,1,1,9
prototype_pollution,1,1,1,1,9
pyproject,1,1,1,1,9
quake_search,1,1,1,1,9
queue,1,1,1,1,9
race_condition,1,1,1,1,9
reactive-verifier,1,1,1,1,9
READMEzh-CN,1,1,1,1,9
README_10,1,1,1,1,9
README_11,1,1,1,1,9
README_13,1,1,1,1,9
README_15,1,1,1,1,9
README_32,1,1,1,1,9
README_33,1,1,1,1,9
README_38,1,1,1,1,9
README_50,1,1,1,1,9
README_54,1,1,1,1,9
README_55,1,1,1,1,9
README_CN_3,1,1,1,1,9
recon,1,1,1,1,9
reconx_engine,1,1,1,1,9
REFERENCE,1,1,1,1,9
reflected_xss,1,1,1,1,9
registry,3,3,1,3,7
release-pypi,1,1,1,1,9
replay,1,1,1,1,9
report-snippet,1,1,1,1,9
report_18,1,1,1,1,9
report_injector,1,1,1,1,9
report_injector_1,1,1,1,1,9
requirements_6,1,1,1,1,9
reset_juice_shop,1,1,1,1,9
retrieval_postprocess,1,1,1,1,9
retry,1,1,1,1,9
review,1,1,1,1,9
robot,1,1,1,1,9
robot_en,1,1,1,1,9
roles,1,1,1,1,9
route_correlator,1,1,1,1,9
RunCommand,1,1,1,1,9
runner,1,1,1,1,9
saml_xsw,1,1,1,1,9
sandbox,1,1,1,1,9
sanitize,1,1,1,1,9
schedulertest,1,1,1,1,9
scheduler_2,1,1,1,1,9
schema-gen-agent,1,1,1,1,9
scope,3,3,1,3,7
search,1,1,1,1,9
SecurityHeaderAnalyzertest,1,1,1,1,9
server,3,3,1,3,7
service,1,1,1,1,9
services_commands,1,1,1,1,9
service_intelligence_view,1,1,1,1,9
settings,1,1,1,1,9
shared,1,1,1,1,9
sherlock,1,1,1,1,9
shodan_api,1,1,1,1,9
shodan_apicpython-313,1,1,1,1,9
shodan_search,1,1,1,1,9
sitemap-agent,1,1,1,1,9
SKILL,1,1,1,1,9
SKILL_11,1,1,1,1,9
SKILL_13,1,1,1,1,9
SKILL_3,1,1,1,1,9
SKILL_7,1,1,1,1,9
SKILL_9,1,1,1,1,9
source-gen-agent,1,1,1,1,9
ssti_polyglot,1,1,1,1,9
status,1,1,1,1,9
stored_xss,1,1,1,1,9
style,1,1,1,1,9
sub_agent_context,1,1,1,1,9
sub_agent_context_test,1,1,1,1,9
SUMMARY,1,1,1,1,9
swagger_2,1,1,1,1,9
swagger_parser,1,1,1,1,9
tasks,1,1,1,1,9
telemetry,1,1,1,1,9
terminal,1,1,1,1,9
test-cortex-integration,1,1,1,1,9
test-gen-agent,1,1,1,1,9
testLogin,1,1,1,1,9
test_agent_loop,1,1,1,1,9
test_agent_mode_cli,1,1,1,1,9
test_anthropic_agent,1,1,1,1,9
test_auth_profiles,1,1,1,1,9
test_auth_profile_cli,1,1,1,1,9
test_auth_runner,1,1,1,1,9
test_benchmarks_scoring_common,1,1,1,1,9
test_browser_agent,1,1,1,1,9
test_chain,1,1,1,1,9
test_chain_quality,1,1,1,1,9
test_config,1,1,1,1,9
test_connection,1,1,1,1,9
test_handler_web_probes,1,1,1,1,9
test_langfuse_1,1,1,1,1,9
test_legacy_probe_migration,1,1,1,1,9
test_llm,1,1,1,1,9
test_llm_e2e_smoke,1,1,1,1,9
test_mcp_action_surface,1,1,1,1,9
test_new_high_roi_probes,1,1,1,1,9
test_probe_cors_reflection,1,1,1,1,9
test_probe_coupon_forging,1,1,1,1,9
test_probe_cve_poc,1,1,1,1,9
test_probe_deserialization,1,1,1,1,9
test_probe_dom_xss,1,1,1,1,9
test_probe_file_upload_validation,1,1,1,1,9
test_probe_forced_error,1,1,1,1,9
test_probe_graphql_introspection,1,1,1,1,9
test_probe_hidden_discovery,1,1,1,1,9
test_probe_host_header_reset_poisoning,1,1,1,1,9
test_probe_idor_authenticated,1,1,1,1,9
test_probe_idor_authz_differential,1,1,1,1,9
test_probe_idor_sequential,1,1,1,1,9
test_probe_ldap_injection,1,1,1,1,9
test_probe_mass_assignment,1,1,1,1,9
test_probe_path_traversal,1,1,1,1,9
test_probe_primitives,1,1,1,1,9
test_probe_prototype_pollution,1,1,1,1,9
test_probe_race_condition,1,1,1,1,9
test_probe_reflected_xss,1,1,1,1,9
test_probe_registry,1,1,1,1,9
